enzyme_name,species_name
versatile peroxidase, Lyngbya cinerescens
laccase, Cosmarium constrictum
lignin peroxidase, Cosmarium constrictum
manganese peroxidase, Cosmarium constrictum
versatile peroxidase, Cosmarium constrictum
laccase, Cosmarium formosulum
lignin peroxidase, Cosmarium formosulum
manganese peroxidase, Cosmarium formosulum
versatile peroxidase, Cosmarium formosulum
laccase, Oedogonium sp
lignin peroxidase, Oedogonium sp
manganese peroxidase, Oedogonium sp
versatile peroxidase, Oedogonium sp
laccase, Nitzchia hungarica
lignin peroxidase, Nitzchia hungarica
manganese peroxidase, Nitzchia hungarica
versatile peroxidase, Nitzchia hungarica
laccase, Navicula dicephala
lignin peroxidase, Navicula dicephala
manganese peroxidase, Navicula dicephala
versatile peroxidase, Navicula dicephala
laccase, Navicula minuta
lignin peroxidase, Navicula minuta
manganese peroxidase, Navicula minuta
versatile peroxidase, Navicula minuta
laccase, Chlorella sorokiniana
lignin peroxidase, Chlorella sorokiniana
manganese peroxidase, Chlorella sorokiniana
versatile peroxidase, Chlorella sorokiniana
laccase, Cocconeis placentula Ehr.
lignin peroxidase, Cocconeis placentula Ehr.
manganese peroxidase, Cocconeis placentula Ehr.
versatile peroxidase, Cocconeis placentula Ehr.
laccase, Chlorella sp.
lignin peroxidase, Chlorella sp.
manganese peroxidase, Chlorella sp.
versatile peroxidase, Chlorella sp.
laccase, Jacksonvillea sp. ISTCYN1
lignin peroxidase, Jacksonvillea sp. ISTCYN1
manganese peroxidase, Jacksonvillea sp. ISTCYN1
versatile peroxidase, Jacksonvillea sp. ISTCYN1
esterase, Jacksonvillea sp. ISTCYN1
lipase, Jacksonvillea sp. ISTCYN1
peroxidase, Jacksonvillea sp. ISTCYN1
PHL7, Chlamydomonas reinhardtii

